,repl,subject,pol_orient,cond
0,1,1,9.0,1
1,1,1,9.0,2
2,1,1,9.0,3
3,1,1,9.0,4
4,1,1,9.0,5
5,1,1,9.0,6
6,1,1,9.0,7
7,1,2,88.0,1
8,1,2,88.0,2
9,1,2,88.0,3
10,1,2,88.0,4
11,1,2,88.0,5
12,1,2,88.0,6
13,1,2,88.0,7
14,1,3,36.0,1
15,1,3,36.0,2
16,1,3,36.0,3
17,1,3,36.0,4
18,1,3,36.0,5
19,1,3,36.0,6
20,1,3,36.0,7
21,1,4,41.0,1
22,1,4,41.0,2
23,1,4,41.0,3
24,1,4,41.0,4
25,1,4,41.0,5
26,1,4,41.0,6
27,1,4,41.0,7
28,1,5,27.0,1
29,1,5,27.0,2
30,1,5,27.0,3
31,1,5,27.0,4
32,1,5,27.0,5
33,1,5,27.0,6
34,1,5,27.0,7
35,1,6,15.0,1
36,1,6,15.0,2
37,1,6,15.0,3
38,1,6,15.0,4
39,1,6,15.0,5
40,1,6,15.0,6
41,1,6,15.0,7
42,1,7,64.0,1
43,1,7,64.0,2
44,1,7,64.0,3
45,1,7,64.0,4
46,1,7,64.0,5
47,1,7,64.0,6
48,1,7,64.0,7
49,1,8,5.0,1
50,1,8,5.0,2
51,1,8,5.0,3
52,1,8,5.0,4
53,1,8,5.0,5
54,1,8,5.0,6
55,1,8,5.0,7
56,1,9,11.0,1
57,1,9,11.0,2
58,1,9,11.0,3
59,1,9,11.0,4
60,1,9,11.0,5
61,1,9,11.0,6
62,1,9,11.0,7
63,1,10,0.0,1
64,1,10,0.0,2
65,1,10,0.0,3
66,1,10,0.0,4
67,1,10,0.0,5
68,1,10,0.0,6
69,1,10,0.0,7
70,1,11,22.0,1
71,1,11,22.0,2
72,1,11,22.0,3
73,1,11,22.0,4
74,1,11,22.0,5
75,1,11,22.0,6
76,1,11,22.0,7
77,1,12,58.0,1
78,1,12,58.0,2
79,1,12,58.0,3
80,1,12,58.0,4
81,1,12,58.0,5
82,1,12,58.0,6
83,1,12,58.0,7
84,1,13,69.0,1
85,1,13,69.0,2
86,1,13,69.0,3
87,1,13,69.0,4
88,1,13,69.0,5
89,1,13,69.0,6
90,1,13,69.0,7
91,1,14,0.0,1
92,1,14,0.0,2
93,1,14,0.0,3
94,1,14,0.0,4
95,1,14,0.0,5
96,1,14,0.0,6
97,1,14,0.0,7
98,1,15,25.0,1
99,1,15,25.0,2
100,1,15,25.0,3
101,1,15,25.0,4
102,1,15,25.0,5
103,1,15,25.0,6
104,1,15,25.0,7
105,1,16,58.0,1
106,1,16,58.0,2
107,1,16,58.0,3
108,1,16,58.0,4
109,1,16,58.0,5
110,1,16,58.0,6
111,1,16,58.0,7
112,1,17,22.0,1
113,1,17,22.0,2
114,1,17,22.0,3
115,1,17,22.0,4
116,1,17,22.0,5
117,1,17,22.0,6
118,1,17,22.0,7
119,1,18,28.0,1
120,1,18,28.0,2
121,1,18,28.0,3
122,1,18,28.0,4
123,1,18,28.0,5
124,1,18,28.0,6
125,1,18,28.0,7
126,1,19,18.0,1
127,1,19,18.0,2
128,1,19,18.0,3
129,1,19,18.0,4
130,1,19,18.0,5
131,1,19,18.0,6
132,1,19,18.0,7
133,1,20,33.0,1
134,1,20,33.0,2
135,1,20,33.0,3
136,1,20,33.0,4
137,1,20,33.0,5
138,1,20,33.0,6
139,1,20,33.0,7
140,1,21,29.0,1
