repl,subject,pol_orient,cond
1,1,9.0,1
1,1,9.0,2
1,1,9.0,3
1,1,9.0,4
1,1,9.0,5
1,1,9.0,6
1,1,9.0,7
1,2,88.0,1
1,2,88.0,2
1,2,88.0,3
1,2,88.0,4
1,2,88.0,5
1,2,88.0,6
1,2,88.0,7
1,3,36.0,1
1,3,36.0,2
1,3,36.0,3
1,3,36.0,4
1,3,36.0,5
1,3,36.0,6
1,3,36.0,7
1,4,41.0,1
1,4,41.0,2
1,4,41.0,3
1,4,41.0,4
1,4,41.0,5
1,4,41.0,6
1,4,41.0,7
1,5,27.0,1
1,5,27.0,2
1,5,27.0,3
1,5,27.0,4
1,5,27.0,5
1,5,27.0,6
1,5,27.0,7
1,6,15.0,1
1,6,15.0,2
1,6,15.0,3
1,6,15.0,4
1,6,15.0,5
1,6,15.0,6
1,6,15.0,7
1,7,64.0,1
1,7,64.0,2
1,7,64.0,3
1,7,64.0,4
1,7,64.0,5
1,7,64.0,6
1,7,64.0,7
1,8,5.0,1
1,8,5.0,2
1,8,5.0,3
1,8,5.0,4
1,8,5.0,5
1,8,5.0,6
1,8,5.0,7
1,9,11.0,1
1,9,11.0,2
1,9,11.0,3
1,9,11.0,4
1,9,11.0,5
1,9,11.0,6
1,9,11.0,7
1,10,0.0,1
1,10,0.0,2
1,10,0.0,3
1,10,0.0,4
1,10,0.0,5
1,10,0.0,6
1,10,0.0,7
1,11,22.0,1
1,11,22.0,2
1,11,22.0,3
1,11,22.0,4
1,11,22.0,5
1,11,22.0,6
1,11,22.0,7
1,12,58.0,1
1,12,58.0,2
1,12,58.0,3
1,12,58.0,4
1,12,58.0,5
1,12,58.0,6
1,12,58.0,7
1,13,69.0,1
1,13,69.0,2
1,13,69.0,3
1,13,69.0,4
1,13,69.0,5
1,13,69.0,6
1,13,69.0,7
1,14,0.0,1
1,14,0.0,2
1,14,0.0,3
1,14,0.0,4
1,14,0.0,5
1,14,0.0,6
1,14,0.0,7
1,15,25.0,1
1,15,25.0,2
1,15,25.0,3
1,15,25.0,4
1,15,25.0,5
1,15,25.0,6
1,15,25.0,7
1,16,58.0,1
1,16,58.0,2
1,16,58.0,3
1,16,58.0,4
1,16,58.0,5
1,16,58.0,6
1,16,58.0,7
1,17,22.0,1
1,17,22.0,2
1,17,22.0,3
1,17,22.0,4
1,17,22.0,5
1,17,22.0,6
1,17,22.0,7
1,18,28.0,1
1,18,28.0,2
1,18,28.0,3
1,18,28.0,4
1,18,28.0,5
1,18,28.0,6
1,18,28.0,7
1,19,18.0,1
1,19,18.0,2
1,19,18.0,3
1,19,18.0,4
1,19,18.0,5
1,19,18.0,6
1,19,18.0,7
1,20,33.0,1
1,20,33.0,2
1,20,33.0,3
1,20,33.0,4
1,20,33.0,5
1,20,33.0,6
1,20,33.0,7
1,21,29.0,1
1,21,29.0,2
1,21,29.0,3
1,21,29.0,4
1,21,29.0,5
1,21,29.0,6
1,21,29.0,7
1,22,14.0,1
1,22,14.0,2
1,22,14.0,3
1,22,14.0,4
1,22,14.0,5
1,22,14.0,6
1,22,14.0,7
1,23,26.0,1
1,23,26.0,2
1,23,26.0,3
1,23,26.0,4
1,23,26.0,5
1,23,26.0,6
1,23,26.0,7
1,24,49.0,1
1,24,49.0,2
1,24,49.0,3
1,24,49.0,4
1,24,49.0,5
1,24,49.0,6
1,24,49.0,7
1,25,70.0,1
1,25,70.0,2
1,25,70.0,3
1,25,70.0,4
1,25,70.0,5
1,25,70.0,6
1,25,70.0,7
1,26,92.0,1
1,26,92.0,2
1,26,92.0,3
1,26,92.0,4
1,26,92.0,5
1,26,92.0,6
1,26,92.0,7
1,27,0.0,1
1,27,0.0,2
1,27,0.0,3
1,27,0.0,4
1,27,0.0,5
1,27,0.0,6
1,27,0.0,7
1,28,71.0,1
1,28,71.0,2
1,28,71.0,3
1,28,71.0,4
1,28,71.0,5
1,28,71.0,6
1,28,71.0,7
